"a,an",indefinite article A1        ,Generated Sentence
slide,"v., n. B2        ","句子：The children eagerly awaited their turn to slide down the colorful playground slide, laughing and shouting with joy."
slight,adj. B2         ,
slightly,adv. B1         ,句子：The temperature in the room dropped slightly after we adjusted the thermostat.
slip,v. B2         ,
slope,"n., v. B2        ","句子：The slope of the mountain gradually increased as we ascended, providing a challenging yet exhilarating hiking experience."
slow,"adj. A1, v. B1       ","句子：The slow progress of the project is causing concern among the stakeholders, prompting the need for a thorough review of the timeline and resource allocation."
slowly,adv. A2         ,
small,adj. A1         ,
smart,adj. B1         ,"句子：Smart technologies enable seamless integration of data from various sources, optimizing processes and enhancing decision-making efficiency."
smartphone,n. A2         ,
smell,"v., n. A2        ","句子：The distinctive smell of freshly baked bread wafted through the air, enticing customers into the bakery with promises of warmth and comfort."
smile,"v., n. A2        ",
smoke,"n., v. A2        ","句子：Smoke billowed from the chimney of the old farmhouse, enveloping the surrounding trees in a hazy veil."
smoking,n. A2         ,
smooth,adj. B1         ,"句子：She effortlessly smoothed the wrinkles out of the fabric, leaving it looking flawless and perfectly pressed."
snake,n. A1         ,
snow,"n., v. A1        ",
so,"adv., conj. A1        ",
soap,n. A2         ,"句子：She carefully lathered the soap in her hands before washing her face, enjoying the fresh scent it left behind."
soccer,n. A2         ,
social,adj. A2         ,"句子：Social interactions play a crucial role in shaping individual behavior, fostering connections, and building communities."
society,n. A2         ,
sock,n. A2         ,句子：She quickly grabbed her favorite pair of socks from the drawer before heading out for a brisk morning run.
soft,adj. A2         ,
software,n. B1         ,"句子：The software facilitates seamless data analysis and enhances operational efficiency, ensuring that tasks are completed with accuracy and speed."
soil,n. B1         ,
solar,adj. B2         ,
soldier,n. A2         ,
solid,"adj., n. B1        ","句子：The solid foundation of any successful project is built upon careful planning, diligent execution, and unwavering commitment to excellence."
solution,n. A2         ,
solve,v. A2         ,"句子：To solve complex problems, engineers often employ innovative strategies and advanced technologies, ensuring efficient and effective solutions to challenging issues."
some,"det., pron. A1        ",
somebody,pron. A1         ,句子：Somebody eagerly awaits your arrival at the airport.
someone,pron. A1         ,
something,pron. A1         ,"句子：Something mysterious happened in the abandoned mansion late last night, leaving everyone in the town puzzled and intrigued."
sometimes,adv. A1         ,
somewhat,adv. B2         ,
somewhere,"adv., pron. A2        ","句子：Somewhere, amidst the bustling city streets, lies a tranquil park where one can find solace and peace."
son,n. A1         ,"句子：The son eagerly helped his father in the kitchen, chopping vegetables with careful precision to prepare a delicious meal."
song,n. A1         ,
soon,adv. A1         ,"句子：The project deadline is approaching soon, urging us to accelerate our progress and meet the client's expectations on time."
sorry,"adj., exclam. A1        ",
sort,"n. A2, v. B1       ","句子：The librarian sorted through the pile of books, categorizing them by genre and author for easy access."
soul,n. B2         ,
sound,"n., v. A1        ","句子：The sound of waves crashing against the shore echoed through the peaceful night, lulling me into a state of tranquility."
soup,n. A1         ,
source,n. A2         ,
south,"n., adj., adv. A1       ","句子：The birds migrated south for the winter, seeking warmer climates and abundant food sources."
southern,adj. B1         ,句子：Southern hospitality often leaves visitors feeling warmly welcomed and embraced by the charm of the region.
space,n. A1         ,
speak,v. A1         ,"句子：She confidently speaks multiple languages, captivating her audience with eloquence and fluency."
speaker,n. A2         ,
special,adj. A1         ,"句子：She received a special invitation to the gala, which made her feel honored and appreciated."
specialist,"n., adj. B2        ",
species,n. B2         ,句子：The endangered species is being closely monitored by conservationists to ensure its survival and protection.
specific,adj. A2         ,
specifically,adv. B1         ,
speech,n. A2         ,"句子：His impassioned speech captivated the audience, leaving a lasting impression on everyone who listened."
speed,"n. A2, v. B2       ","句子：The car reached an impressive speed, thanks to its powerful engine and aerodynamic design."
spell,v. A1         ,
spelling,n. A1         ,句子：She meticulously checked the spelling of every word in the document before submitting it for approval.
spend,v. A1         ,
spending,n. B1         ,句子：Efficient spending requires careful planning and diligent oversight to ensure that resources are allocated wisely and effectively.
spicy,adj. B1         ,
spider,n. A2         ,"句子：The spider stealthily crept across the ceiling, weaving its delicate web with intricate precision."
spirit,n. B1         ,
spiritual,adj. B2         ,
split,"v., n. B2        ","句子：She split the cake evenly between her friends, ensuring everyone received a fair share."
spoken,adj. B1         ,"句子：He eloquently conveyed his message through spoken words, captivating the audience with his compelling delivery and powerful rhetoric."
sponsor,"v., n. B2        ",
spoon,n. A2         ,句子：He carefully scooped the soup into his mouth using a silver spoon.
sport,n. A1         ,
spot,"n. B1, v. B2       ","句子：They spot a rare bird in the forest, capturing its beauty with their camera."
spread,"v. B1, n. B2       ",
spring,"n. A1, v. B1       ","句子：In spring, the vibrant colors of blooming flowers and the fresh scent of new growth fill the air, signaling the arrival of a new season."
square,"adj., n. A2        ",
stable,adj. B2         ,
stadium,n. B1         ,句子：The stadium erupted with deafening cheers as the home team scored the winning goal in the final seconds of the match.
staff,n. B1         ,"句子：The staff diligently collaborate to maintain smooth operations and exceptional service, fostering a positive work environment for all."
stage,"n. A2, v. B2       ",
stair,n. A2         ,"句子：She carefully climbed the stair, gripping the railing tightly to maintain her balance."
stamp,n. A2         ,
stand,"v. A1, n. B2       ","句子：The stand for the microphone was sturdy, providing a stable base for the performer during the concert."
standard,"n., adj. B1        ",
star,"n. A1, v. A2       ","句子：The astronomer observed the distant star through her powerful telescope, marveling at its brilliance and beauty."
stare,v. B2         ,
start,"v. A1, n. A2       ",
state,"n. A2, adj., v. B1      ","句子：The state of the art facility ensures seamless integration of cutting-edge technology with efficient processes and skilled personnel, optimizing productivity and quality control measures."
statement,n. A1         ,"句子：The statement boldly declares the company's commitment to environmental sustainability, outlining its strategic initiatives and goals for reducing carbon emissions."
station,n. A1         ,
statistic,n. B1         ,"句子：This statistic highlights a significant increase in global temperatures over the past century, indicating a pressing need for immediate action to mitigate climate change."
statue,n. B1         ,
status,n. B2         ,"句子：The status of the project depends on various factors, including funding, team dynamics, and external influences."
stay,"v. A1, n. A2       ",
steady,adj. B2         ,"句子：The steady progress of our project is attributed to consistent effort, careful planning, and dedicated teamwork, ensuring successful completion within the set timeline."
steal,v. A2         ,
steel,n. B2         ,
steep,adj. B2         ,"句子：The mountain climber faced the steep ascent with determination, steadily making progress towards the summit."
step,"n. A2, v. B2       ","句子：He carefully took each step, ensuring his progress was deliberate and calculated, leading him closer to his ultimate goal."
stick,(push into/attach) v. B1       ,
stick,(piece of wood) n. B1      ,句子：The carpenter carefully measured the length of the stick before cutting it to ensure accuracy in his work.
sticky,adj. B2         ,
stiff,adj. B2         ,"句子：The stiff breeze blew through the open window, sending papers flying in all directions."
still,"adv. A1, adj. B1       ",
stock,n. B2         ,"句子：The company carefully manages its stock inventory, regularly updating levels to meet customer demand and maximize profits."
stomach,n. A2         ,
stone,n. A2         ,
stop,"v., n. A1        ","句子：The bus driver decided to stop abruptly at the next intersection, causing passengers to jolt forward in their seats."
store,"n. A2, v. B1       ","句子：The store offers a wide selection of products, catering to the diverse needs and preferences of its customers."
storm,n. A2         ,
story,n. A1         ,"句子：The captivating story unfolds gradually, drawing readers into its intricate plot and compelling characters."
straight,"adv., adj. A2        ",
strange,adj. A2         ,句子：The strange phenomenon puzzled scientists for years before they finally uncovered its mysterious origins.
stranger,n. B1         ,
strategy,n. A2         ,"句子：The strategy involved careful analysis of market trends, strategic planning, and effective execution, leading to a significant increase in company profitability."
stream,n. B2         ,
street,n. A1         ,
strength,n. B1         ,"句子：His immense strength enabled him to lift the heavy boulder effortlessly, impressing everyone around him."
stress,"n., v. A2        ","句子：Persistent stress can have profound effects on both physical and mental health, highlighting the importance of effective coping strategies and support systems."
stretch,"v., n. B2        ",
strict,adj. B2         ,"句子：The teacher enforced strict rules in the classroom, ensuring discipline and focus among the students."
strike,"v., n. B2        ",
string,n. B1         ,"句子：She skillfully tied the string around the gift box, securing it tightly before adding a decorative bow."
strong,adj. A1         ,
strongly,adv. B1         ,"句子：He strongly advocated for environmental conservation, promoting sustainable practices and protecting endangered species."
structure,"n. A2, v. B2       ",
struggle,"v., n. B2        ",
student,n. A1         ,"句子：The student diligently studied the complex theories, eagerly absorbing every detail to excel in the upcoming exam."
studio,n. B1         ,"句子：In the bustling studio, talented artists meticulously craft their masterpieces, ensuring each detail aligns perfectly with their creative vision."
study,"n., v. A1        ",
stuff,"n. B1, v. B2       ",句子：People often stuff their luggage with extra clothes and snacks before going on a long trip.
stupid,adj. A2         ,
style,n. A1         ,"句子：His unique sense of style always catches everyone's attention, showcasing his individuality and creativity."
subject,"n. A1, adj. B2       ",
submit,v. B2         ,"句子：She always insists that I submit my assignments on time, which helps me stay organized and responsible."
substance,n. B1         ,
succeed,v. A2         ,
success,n. A1         ,"句子：Success often requires dedication, perseverance, and strategic planning, culminating in the realization of one's goals and ambitions."
successful,adj. A2         ,"句子：The successful completion of the project relied on meticulous planning, diligent execution, and effective communication among team members."
successfully,adv. B1         ,"句子：She successfully completed her mission, impressing her superiors with her efficiency and dedication."
such,det./pron. A2         ,"句子：Such precision in measurement demands careful attention to detail and rigorous adherence to established methodologies, guaranteeing accurate results every time."
sudden,adj. B1         ,
suddenly,adv. A2         ,
suffer,v. B1         ,
sugar,n. A1         ,"句子：Sugar fuels our bodies, providing the energy needed for daily activities and functions."
suggest,v. A2         ,
suggestion,n. A2         ,
suit,"n. A2, v. B1       ","句子：Wearing a tailored suit, he confidently strode into the boardroom, ready to impress with his professional demeanor and impeccable style."
suitable,adj. B1         ,句子：A suitable solution is found by carefully assessing the requirements and selecting the most appropriate approach to meet the desired outcome.
sum,"n., v. B2        ",句子：The sum of their efforts and contributions significantly impacted the project's success.
summarize,v. B1         ,"句子：To effectively summarize complex information, one must distill key points concisely, ensuring clarity and comprehension for the audience."
summary,n. B1         ,
summer,n. A1         ,
sun,n. A1         ,
Sunday,n. A1         ,"句子：On Sunday, we enjoy relaxing with family and friends, indulging in good food and laughter."
supermarket,n. A1         ,
supply,"n., v. B1        ",句子：Supply chains play a crucial role in ensuring the timely delivery of goods and services to meet consumer demands worldwide.
support,"v., n. A2        ",
supporter,n. B1         ,"句子：The dedicated supporter tirelessly advocates for their cause, offering unwavering assistance and encouragement to those in need."
suppose,v. A2         ,句子：Suppose you carefully consider the implications of your decision before proceeding with your plan.
sure,"adj. A1, adv. A2       ","句子：He was never quite sure about the outcome, despite his thorough preparation and careful consideration of all possibilities."
surely,adv. B1         ,
surface,n. B1         ,
surgery,n. B2         ,
surprise,"n., v. A2        ","句子：The unexpected surprise brought joy and excitement to everyone at the party, creating unforgettable memories."
surprised,adj. A2         ,
surprising,adj. A2         ,句子：The surprising discovery of a new species in the remote rainforest astonished the scientific community.
surround,v. B2         ,
surrounding,adj. B2         ,句子：The serene beauty of the surrounding countryside captivates visitors with its lush greenery and tranquil atmosphere.
survey,"n. A2, v. B2       ","句子：The survey accurately gauges public opinion on pressing social issues, providing valuable insights for policymakers and researchers."
survive,v. B1         ,"句子：Some species have evolved remarkable adaptations to survive in extreme environments, showcasing the incredible resilience of life on Earth."
suspect,"v., n. B2        ","句子：The detective suspects that the suspect is hiding crucial evidence, which could unravel the mystery."
swear,v. B2         ,
sweater,n. A1         ,
sweep,v. B2         ,"句子：The team's sweep of the area uncovered several hidden artifacts, shedding light on the region's ancient history."
sweet,"adj., n. A2        ",
swim,"v. A1, n. B1       ",句子：She enjoys the leisurely swim in the serene lake every morning before starting her day.
swimming,n. A1         ,
switch,"v. B1, n. B2       ","句子：He quickly flicked the switch, illuminating the room with a warm glow."
symbol,n. A2         ,"句子：The symbol of peace was intricately crafted, reflecting centuries of cultural significance and representing harmony among nations."
sympathy,n. B2         ,"句子：Her sympathy towards others shines through in her compassionate actions and heartfelt gestures, offering solace and support to those in need."
symptom,n. B1         ,
system,n. A2         ,
table,n. A1         ,
tablet,n. A2         ,"句子：The tablet swiftly dissolved in the water, releasing its active ingredients for rapid absorption into the bloodstream."
tail,n. B1         ,
take,v. A1         ,句子：He will take his time to carefully consider all the options before making a decision.
tale,n. B2         ,
talent,n. B1         ,"句子：Talent development requires consistent effort and dedication, fostering skills that can lead to exceptional performance and success."
talented,adj. B1         ,"句子：Talented musicians captivate audiences with their exceptional skills, delivering unforgettable performances that resonate deeply with listeners."
talk,"v. A1, n. A2       ","句子：During the talk, the speaker engaged the audience with compelling anecdotes and insightful analysis, fostering a lively exchange of ideas and perspectives."
tall,adj. A1         ,
tank,n. B2         ,
tape,n. B1         ,
target,"n. A2, v. B2       ","句子：The company sets a clear target for sales each quarter, which motivates employees to work diligently towards achieving it."
task,n. A2         ,
taste,"n., v. A2        ","句子：She discovered her love for baking through experimenting with different flavor combinations, enhancing the taste of her desserts to perfection."
tax,"n., v. B1        ",
taxi,n. A1         ,"句子：The taxi driver navigated through the bustling city streets with expert precision, swiftly transporting the passengers to their destination."
tea,n. A1         ,句子：She enjoys sipping hot tea in the morning while watching the sunrise from her balcony.
teach,v. A1         ,"句子：She decided to teach English to children in rural areas, hoping to make a positive impact on their future."
teacher,n. A1         ,
teaching,n. A2         ,
team,n. A1         ,
tear,"v., n. B2        ","句子：She tried to tear the paper, but it was too strong and wouldn't rip."
tear,n. B2         ,
technical,adj. B1         ,"句子：Technical expertise enables seamless integration of cutting-edge solutions, optimizing performance and reliability across diverse applications and industries."
technique,n. B1         ,
technology,n. A2         ,"句子：Cutting-edge technology revolutionizes industries, streamlining processes and enhancing productivity through innovative solutions."
teenage,adj. A2         ,句子：The teenage musician effortlessly captivated the audience with her soulful melodies and electrifying stage presence.
teenager,n. A1         ,"句子：The teenager eagerly explored the vast world of possibilities, fueled by curiosity and a thirst for knowledge."
telephone,"n., v. A1        ",
television,n. A1         ,
tell,v. A1         ,
temperature,n. A2         ,"句子：The temperature fluctuates throughout the day, affecting various processes and activities."
temporary,adj. B2         ,
ten,number A1         ,"句子：Ten minutes later, the train arrived at the station, marking the end of our journey."
tend,v. B1         ,
tennis,n. A1         ,"句子：Playing tennis requires agility, coordination, and strategic thinking, making it both a physically demanding and mentally stimulating activity."
tent,n. B1         ,"句子：The tent pitched in the wilderness provided shelter from the elements, creating a cozy retreat for the weary hikers."
term,"n. A2, v. B2       ","句子：The term ""deadline"" refers to the specified time by which a task or project must be completed, ensuring timely delivery and organization."
terrible,adj. A1         ,
test,"n., v. A1        ",
text,"n. A1, v. A2       ",
than,conj. A1         ,句子：She believes that actions speak louder than words.
thank,v. A1         ,
thanks,"exclam., n. A1        ","句子：Thanks to her dedication and hard work, the project was completed ahead of schedule and under budget."
that,"det., pron., conj. A1, adv. B1     ",
the,definite article A1        ,"句子：The dog chased the cat around the garden, causing quite a commotion."
theatre,n. A1         ,"句子：The theatre performance captivated the audience with its compelling storyline, brilliant acting, and mesmerizing stage design."
their,det. A1         ,"句子：Their enthusiasm for learning knows no bounds, propelling them to explore new horizons and conquer challenges with unwavering determination."
theirs,pron. B1         ,
them,pron. A1         ,
theme,n. B1         ,
themselves,pron. A2         ,"句子：They often find themselves lost in the vastness of the forest, searching for a way back to civilization."
then,adv. A1         ,
theory,n. B1         ,句子：The theory proposes a comprehensive framework for understanding the underlying principles and predicting the behavior of complex systems in various fields.
therapy,n. B2         ,
there,adv. A1         ,句子：There are countless opportunities waiting for those who dare to dream and take action.
therefore,adv. B1         ,"句子：Therefore, we must carefully analyze the data collected to draw accurate conclusions about the experiment's results."
they,pron. A1         ,"句子：They navigate through the complexities of life with grace and determination, overcoming obstacles with resilience and perseverance."
thick,adj. A2         ,
thief,n. A2         ,
thin,adj. A2         ,
thing,n. A1         ,句子：One thing to remember is that success often comes from consistent effort and unwavering determination.
think,v. A1         ,
thinking,n. A2         ,句子：Thinking critically about the problem allowed her to devise an innovative solution that addressed all the key issues effectively.
third,"number A1, n. A2       ",
thirsty,adj. A1         ,"句子：The thirsty traveler eagerly gulped down the cool, refreshing water after a long journey through the scorching desert."
thirteen,number A1         ,"句子：Thirteen energetic students eagerly participated in the science fair, presenting innovative projects that captivated the judges and audience alike."
thirty,number A1         ,"句子：Thirty enthusiastic students eagerly participated in the science fair, showcasing their innovative projects and discoveries to the judges and spectators."
this,"det./pron. A1, adv. B1       ",
though,"conj., adv. B1        ",
thought,n. A2         ,
thousand,number A1         ,"句子：Thousands of stars twinkled in the clear night sky, mesmerizing observers with their dazzling beauty."
threat,n. B2         ,
threaten,v. B2         ,句子：The menacing storm clouds threaten to unleash torrents of rain and powerful gusts of wind upon the unsuspecting town.
three,number A1         ,
throat,n. B1         ,"句子：The singer's throat strained as she hit the high notes with effortless precision, captivating the audience with her melodious voice."
through,"prep., adv. A1        ","句子：Through diligent effort and strategic planning, we navigated the challenges and reached our destination successfully."
throughout,prep./adv. B1         ,"句子：Throughout the journey, she maintained a positive attitude and persevered despite facing numerous challenges along the way."
throw,v. A2         ,
Thursday,n. A1         ,
thus,adv. B2         ,
ticket,n. A1         ,"句子：The ticket grants access to the concert, allowing attendees to enjoy the performance of their favorite band."
tidy,"adj., v. A2        ",
tie,"v., n. A2        ","句子：He tied the rope tightly around the package, securing it for the long journey ahead."
tight,adj. B1         ,
till,conj./prep. B1         ,句子：We waited till the sun set before starting the bonfire.
time,"n. A1, v. B2       ","句子：Time flies quickly, reminding us to cherish every moment and make the most of each passing second."
tin,n. B1         ,"句子：The tin can gleamed brightly in the sunlight, its contents safely preserved for future use."
tiny,adj. B1         ,
tip,"n. A2, v. B1       ",
tired,adj. A1         ,
title,"n. A1, v. B2       ","句子：The title of the book perfectly encapsulates the essence of its content, captivating readers with its intriguing promise of insight and adventure."
to,"prep., infinitive marker A1       ",
today,"adv., n. A1        ","句子：Today, we will embark on a journey to explore new horizons and seize the opportunities that await us."
toe,n. B1         ,
together,adv. A1         ,"句子：Together, we can overcome any challenge and achieve our goals by uniting our efforts and leveraging each other's strengths."
toilet,n. A1         ,"句子：The toilet in the guest bathroom is undergoing maintenance to fix a persistent leak, ensuring that it functions properly for our visitors."
tomato,n. A1         ,句子：The ripe tomato burst with flavor as I sliced it for the salad.
tomorrow,"adv., n. A1        ",
tone,n. B2         ,
tongue,n. B1         ,
tonight,"adv., n. A1        ","句子：Tonight, we will enjoy a delicious dinner with friends at our favorite restaurant, celebrating a successful week at work."
too,adv. A1         ,
tool,n. A2         ,"句子：The tool enhances efficiency by automating repetitive tasks, ultimately streamlining the workflow and reducing overall workload."
tooth,n. A1         ,
top,"n., adj. A2        ","句子：The chef carefully selects the top-quality ingredients, ensuring that the dish exceeds all expectations in flavor and presentation."
topic,n. A1         ,"句子：The topic of today's lecture is quantum mechanics, exploring its principles and applications in modern physics."
total,"adj., n. B1        ",句子：The total number of participants in the study significantly impacts the statistical significance of the findings.
totally,adv. B1         ,
touch,"v. A2, n. B1       ",
tough,adj. B2         ,
tour,"n. A2, v. B1       ","句子：During our vacation, we embarked on a thrilling tour of ancient ruins and historic landmarks, immersing ourselves in the rich tapestry of culture and history."
tourism,n. A2         ,
tourist,n. A1         ,"句子：The tourist explored the ancient ruins with awe and wonder, capturing unforgettable memories with each step of their journey."
towards,prep. A2         ,
towel,n. A2         ,"句子：The towel absorbs water efficiently, making it a useful tool for drying off after a shower or swim."
tower,n. A2         ,"句子：The tower stands tall against the backdrop of the city skyline, casting a shadow that stretches far into the bustling streets below."
town,n. A1         ,"句子：The bustling town thrives on the diversity of its residents, offering a vibrant tapestry of cultures, traditions, and opportunities."
toy,"n., adj. A2        ",
track,"n. A2, v. B2       ",
trade,"n., v. B1        ",
tradition,n. A2         ,"句子：Traditional methods of craftsmanship have been passed down through generations, preserving cultural heritage and maintaining a connection to the past."
traditional,adj. A2         ,
traffic,n. A1         ,"句子：Traffic congestion can significantly impede urban mobility, leading to delays and frustration among commuters."
train,"n. A1, v. A2       ",
trainer,n. A2         ,"句子：The trainer carefully guides each athlete through rigorous training sessions, focusing on technique and endurance to maximize performance potential."
training,n. A2         ,"句子：The effectiveness of the training program hinges on the expertise of the instructors, the relevance of the material, and the commitment of the participants to continuous improvement."
transfer,"v., n. B2        ","句子：She oversees the seamless transfer of data between departments, ensuring that information flows efficiently and accurately."
transform,v. B2         ,
transition,n. B2         ,
translate,v. B1         ,
translation,n. B1         ,"句子：Translation requires a deep understanding of both the source and target languages, as well as the cultural nuances embedded within them."
transport,"n. A2, v. B1       ",
travel,"v., n. A1        ","句子：Travel enthusiasts often meticulously plan their itineraries, utilizing precise maps and navigation tools, ensuring their journey aligns closely with their desired destinations and experiences."
traveller,n. A2         ,
treat,v. B1         ,"句子：She treats her patients with kindness and respect, ensuring they receive the best possible care."
treatment,n. B1         ,"句子：The treatment of the patient's condition requires careful consideration of various factors, including medical history, current symptoms, and available treatment options."
tree,n. A1         ,"句子：The tall tree swayed gently in the breeze, casting dappled shadows on the forest floor below."
trend,n. B1         ,
trial,n. B2         ,
trick,"n., v. B1        ",
trip,"n. A1, v. B2       ","句子：During the trip, we encountered unexpected detours, but ultimately reached our destination safely and with unforgettable memories."
tropical,adj. B2         ,
trouble,"n. A2, v. B2       ","句子：The student had trouble understanding the complex math problem, but with the help of the tutor, she eventually grasped the concept."
trousers,n. A1         ,
truck,n. A2         ,"句子：The truck rumbled along the dusty road, carrying a heavy load of construction materials to the remote site."
TRUE,adj. A1         ,"句子：True happiness stems from genuine connections, heartfelt experiences, and a deep sense of fulfillment."
truly,adv. B2         ,"句子：He truly appreciated the gesture, recognizing the effort and thoughtfulness behind it."
trust,"n., v. B2        ",
truth,n. B1         ,
try,"v. A1, n. B2       ",
T-shirt,n. A1         ,"句子：Wearing a comfortable T-shirt, she strolled leisurely through the park, enjoying the warmth of the sun on her skin."
tube,n. B1         ,
Tuesday,n. A1         ,"句子：On Tuesday, I plan to meet my friend for lunch at the new restaurant downtown."
tune,n. B2         ,
tunnel,n. B2         ,"句子：The construction crew diligently excavated the tunnel, employing advanced machinery and expert techniques to ensure its stability and safety."
turn,"v., n. A1        ","句子：He turns the key in the ignition, starting the engine with a satisfying roar."
TV,n. A1         ,"句子：TV viewers eagerly awaited the premiere of the new season, anticipating thrilling plot twists and captivating character developments."
twelve,number A1         ,
twenty,number A1         ,
twice,adv. A1         ,
twin,"n., adj. A2        ","句子：Twin sisters Emily and Sarah share an unbreakable bond, evident in their synchronized movements and mutual understanding."
two,number A1         ,
type,"n. A1, v. B1       ","句子：This type of analysis requires careful consideration of various factors, including data quality, sample size, and analytical methodology, to ensure accurate results."
typical,adj. A2         ,
typically,adv. B1         ,"句子：Typically, students prepare for exams by reviewing their notes, practicing past papers, and seeking clarification on challenging concepts."
tyre,n. B1         ,句子：The worn tyre needed replacement urgently to ensure safe driving conditions on the slippery road.
ugly,adj. B1         ,"句子：Despite its ugly appearance, the old, weather-beaten house stood proudly at the end of the street, a testament to resilience and endurance."
ultimately,adv. B2         ,
umbrella,n. A1         ,
unable,adj. B1         ,
uncle,n. A1         ,句子：My uncle enjoys fishing in the serene lake near his cabin during the weekends.
uncomfortable,adj. B1         ,
unconscious,adj. B2         ,"句子：She remained unconscious for several hours after the accident, requiring immediate medical attention to assess her condition and provide appropriate treatment."
under,"prep., adv. A1        ",
underground,"adj., adv. A2        ","句子：Explorers ventured into the underground labyrinth, guided only by flickering torchlight and their unwavering determination to uncover hidden secrets."
understand,v. A1         ,句子：He strives to understand the complexities of the situation by carefully analyzing various perspectives and seeking clarification from knowledgeable sources.
understanding,n. A2         ,"句子：The understanding of complex theories and concepts is facilitated by thorough study and thoughtful analysis, enabling individuals to grasp intricate ideas with clarity and depth."
underwear,n. B1         ,
unemployed,adj. B1         ,
unemployment,n. B1         ,
unexpected,adj. B2         ,"句子：The unexpected arrival of the package surprised everyone at the office, causing a flurry of excitement and curiosity."
unfair,adj. B1         ,
unfortunately,adv. A2         ,"句子：Unfortunately, the experiment failed due to a lack of proper controls and insufficient data collection methods, resulting in unreliable results."
unhappy,adj. A2         ,
uniform,n. A2         ,"句子：The uniform worn by soldiers must meet strict standards for durability, comfort, and appearance, ensuring a cohesive and professional image for the military."
union,n. B1         ,"句子：The union of two powerful forces in the industry resulted in unprecedented innovation and growth, reshaping the landscape of the market."
unique,adj. B2         ,"句子：The unique design of this building incorporates innovative materials and sustainable features, making it stand out among its peers."
unit,n. A2         ,
united,adj. A2         ,
universe,n. B2         ,
university,n. A1         ,"句子：Attending university provides students with opportunities for academic growth, social interaction, and career advancement."
unknown,adj. B2         ,
unless,conj. B1         ,"句子：Unless you submit the assignment by the deadline, you won't receive full credit for your work."
unlike,prep. B1         ,
unlikely,adj. B1         ,"句子：Despite the unlikely circumstances, she managed to achieve her goals through determination and perseverance."
unnecessary,adj. B1         ,句子：Unnecessary complications arise when individuals fail to streamline their processes and overlook opportunities for simplification.
unpleasant,adj. B1         ,"句子：He found the unpleasant smell lingering in the room unbearable, prompting him to open the windows and let in fresh air."
until,conj./prep. A1         ,
unusual,adj. A2         ,
up,"adv., prep. A1        ",
update,"v., n. B1        ","句子：The software automatically prompts users to update their devices, ensuring they have the latest features and security patches."
upon,prep. B1         ,
upper,adj. B2         ,"句子：The upper deck offers stunning views of the city skyline, providing an ideal spot for capturing breathtaking photographs."
upset,"adj., v. B1        ",
upstairs,"adv. A1, adj. A2       ","句子：Upstairs, the children played loudly while their parents relaxed downstairs with a cup of tea."
upwards,adv. B2         ,"句子：The balloon drifts upwards, carried by the gentle breeze, moving higher into the azure sky, symbolizing freedom and the boundless possibilities that lie ahead."
urban,adj. B2         ,"句子：Urban development relies heavily on thoughtful planning and strategic allocation of resources, fostering vibrant communities and sustainable growth."
urge,v. B2         ,
us,pron. A1         ,
use,"v. A1, n. A2       ",
used,adj. B1         ,"句子：The used car was meticulously inspected and tested, guaranteeing its reliability and performance."
used,adj. B1         ,
used to,modal v. A2        ,句子：He used to play the piano every evening before he moved to the city for college.
useful,adj. A1         ,
user,n. A2         ,"句子：The user carefully navigated the interface, inputting data with precision and efficiency, maximizing productivity."
usual,adj. A2         ,"句子：She greeted her guests with her usual warmth and hospitality, making everyone feel instantly at home."
usually,adv. A1         ,"句子：Usually, he wakes up early in the morning, brews a fresh pot of coffee, and starts his day with a brisk walk in the park."
vacation,n. A1         ,
valley,n. A2         ,
valuable,adj. B1         ,
value,"n. B1, v. B2       ","句子：The value of education cannot be overstated; it serves as the cornerstone of personal and societal development, shaping minds and fostering growth."
van,n. A2         ,
variety,n. A2         ,"句子：A variety of fruits and vegetables is available at the local market, catering to different tastes and dietary preferences."
various,adj. B1         ,
vary,v. B2         ,"句子：The flavors in this dish vary depending on the season, ensuring a dynamic and always interesting culinary experience."
vast,adj. B2         ,"句子：The vast ocean stretched out before us, its endless expanse both daunting and captivating."
vegetable,n. A1         ,"句子：He enjoys cooking delicious meals with fresh vegetable ingredients, emphasizing the importance of nutritious eating habits."
vehicle,n. A2         ,
venue,n. B2         ,
version,n. B1         ,
very,"adv. A1, adj. B2       ","句子：The cat is very curious about the new toy, playing with it for hours on end."
via,prep. B2         ,
victim,n. B1         ,"句子：The victim bravely stood up against injustice, seeking justice and solace amidst adversity."
victory,n. B2         ,
video,n. A1         ,"句子：The video vividly captures the essence of the event, providing viewers with a comprehensive understanding of the proceedings."
view,"n. A2, v. B1       ","句子：From the mountain peak, the breathtaking view stretches out before us, revealing nature's grandeur in all its glory."
viewer,n. B1         ,"句子：The viewer carefully examines each frame, ensuring they capture every detail portrayed in the film."
village,n. A1         ,
violence,n. B2         ,
violent,adj. B1         ,
virtual,adj. B2         ,"句子：Virtual reality transports users to immersive digital worlds, offering an escape from the constraints of physical reality."
virus,n. A2         ,
vision,n. B2         ,"句子：His vision for the company's future success involves innovative strategies and clear communication, guiding the team towards achieving their goals."
visit,"v., n. A1        ",
visitor,n. A1         ,"句子：The visitor eagerly explored the museum, marveling at the intricate exhibits and engaging with the knowledgeable tour guide."
visual,adj. B2         ,句子：Visual inspection of the artwork revealed intricate details that were previously unnoticed by the naked eye.
